Year,GDP (current USD)
2018,N/A
2017,N/A
2016,N/A
2015,"11,997,800,760.2"
2014,"13,962,212,847.5"
2013,"18,426,469,016.9"
2012,"11,931,472,169.5"
2011,"14,907,308,932.8"
2010,"14,602,072,411.0"
2009,"12,231,264,525.1"
2008,"14,586,253,383.1"
2007,N/A
2006,N/A
2005,N/A
2004,N/A
2003,N/A
2002,N/A
2001,N/A
2000,N/A
1999,N/A
1998,N/A
1997,N/A
1996,N/A
