Year,GDP (current USD)
2018,"1,583,876,200.0"
2017,"1,615,609,700.0"
2016,"1,650,618,500.0"
2015,"1,594,410,900.0"
2014,"1,447,307,100.0"
2013,"1,395,519,600.0"
2012,"1,160,389,500.0"
2011,"1,042,411,500.0"
2010,"881,827,800.0"
2009,"726,882,400.0"
2008,"648,492,700.0"
2007,"542,795,400.0"
2006,"453,805,100.0"
2005,"462,283,600.0"
2004,"440,764,600.0"
2003,"490,439,100.0"
2002,"469,506,700.0"
2001,"477,443,500.0"
2000,"367,087,900.0"
1999,N/A
1998,N/A
1997,N/A
1996,N/A
